"noc_title","2.C.3.a - Comp and Elec","2.C.3.b - Eng and Tech","2.C.9.a - Telco","2.B.3.b - Tech Design","2.B.3.e - Programming","4.A.3.b.1 - Inter w Comp","Rank - Tech Design","Rank - Programming","Rank - Comp and Elec","Rank - Inter w Comp","Rank - Eng and Tech","Rank - Telco","harm.rank","harm.rank.digital","harm.rank.no.tel","tech","digital","tech.no.tel","noc_code","noc_name"
"0012 Senior government managers and officials",9.32291111111111,6.768,3.06924444444444,1.67416666666667,1.11653333333333,15.4996333333333,187.5,167.5,240.5,116.5,168.5,172.5,168.754645813081,164.272181218345,167.836554863984,0,NA,NA,"0012"," Senior government managers and officials"
"0013 Senior managers - financial, communications and other business services",9.32291111111111,6.768,3.06924444444444,1.67416666666667,1.11653333333333,15.4996333333333,187.5,167.5,240.5,116.5,168.5,172.5,168.754645813081,164.272181218345,167.836554863984,0,NA,NA,"0013"," Senior managers - financial, communications and other business services"
"0014 Senior managers - health, education, social and community services and membership organizations",9.32291111111111,6.768,3.06924444444444,1.67416666666667,1.11653333333333,15.4996333333333,187.5,167.5,240.5,116.5,168.5,172.5,168.754645813081,164.272181218345,167.836554863984,0,NA,NA,"0014"," Senior managers - health, education, social and community services and membership organizations"
"0015 Senior managers - trade, broadcasting and other services, n.e.c.",11.26926,4.848804,3.185608,1.32,1.097256,15.341132,246,172,171,125,215,162,174.703054761086,155.849554487847,177.2482647596,0,NA,NA,"0015"," Senior managers - trade, broadcasting and other services, n.e.c."
"0016 Senior managers - construction, transportation, production and utilities",9.32291111111111,6.768,3.06924444444444,1.67416666666667,1.11653333333333,15.4996333333333,187.5,167.5,240.5,116.5,168.5,172.5,168.754645813081,164.272181218345,167.836554863984,0,NA,NA,"0016"," Senior managers - construction, transportation, production and utilities"
"0111 Financial managers",11.1818,1.42266666666667,1.9906,1.02666666666667,1.49653333333333,16.2096888888889,321,115,174,95,387,289,177.080852874859,141.844384598588,164.286960807184,0,NA,NA,"0111"," Financial managers"
"0112 Human resources managers",8.451,1.1537,1.8616,1.54,2.415,11.7504,217,66.5,277,217,402,303,179.871685083761,152.15740119403,166.291741859117,0,NA,NA,"0112"," Human resources managers"
"0113 Purchasing managers",13.635525,6.85,5.495425,2.5,1.75,15.34,98,92.5,105,126,166,63,100.473566698669,91.6838923590789,113.398743705154,0,NA,NA,"0113"," Purchasing managers"
"0114 Other administrative services managers",13.9025,3.3372,5.7597,1.125,0.8556,15.438,304,235,99,121,277,59,130.501488897291,102.300021318426,170.591288287993,0,NA,NA,"0114"," Other administrative services managers"
"0121 Insurance, real estate and financial brokerage managers",9.2518,0.7872,2.0651,0.75,0.5244,20.9034,371,301.5,244,19,438,281,91.0476026770745,65.6453162805078,80.1879681053254,0,NA,NA,"0121"," Insurance, real estate and financial brokerage managers"
"0122 Banking, credit and other investment managers",10.0377,1.25125,2.6167,1.5886,1.17375,19.5585,207,157.5,222,37,396,219,122.495774947278,96.027585536767,112.521817980286,0,NA,NA,"0122"," Banking, credit and other investment managers"
"0124 Advertising, marketing and public relations managers",10.048125,2.308625,3.696225,1.2089875,1.391175,15.8988875,294,125,221,100,333,122,162.796071031644,131.267688186117,174.059283398896,0,NA,NA,"0124"," Advertising, marketing and public relations managers"
